# Brown et all 2000 TKE/(0.5 Uref^2)
# z/H   x/H=0.75   -   z/H   x/H=1.00   -  z/H   x/H=1.25
#
0.10633 0.00759	0.10356 0.00946	0.09953 0.01330
0.20592 0.00656	0.20309 0.00724	0.20040 0.01049
0.30552 0.00568	0.30397 0.00569	0.29993 0.00805
0.40511 0.00612	0.40350 0.00702	0.40081 0.00606
0.50606 0.00568	0.50168 0.00695	0.50034 0.00369
0.60565 0.00597	0.60256 0.00613	0.60121 0.00429
0.80619 0.00464	0.80296 0.00399	0.80161 0.00539
1.01480 0.02528	1.00471 0.02468	0.99798 0.02660
1.11709 0.02860	1.10693 0.03000	1.09751 0.03015
1.21669 0.02816	1.20511 0.02882	1.19839 0.02830
1.41857 0.03015	1.40686 0.03155	1.39744 0.02933
 	 	 
