# Li et all 2007 TKE/( 0.5 Uref^2)
# z/H   x/H=0.75   -   z/H   x/H=1.00   -  z/H   x/H=1.25
#
0.09960 0.00398	0.09953 0.00606	0.09953 0.00768
0.14939 0.00339	0.14929 0.00466	0.14929 0.00791
0.19919 0.00479	0.20040 0.00473	0.19906 0.00754
0.25034 0.00302	0.25017 0.00458	0.24882 0.00702
0.30013 0.00273	0.29993 0.00399	0.29993 0.00569
0.34993 0.00287	0.34970 0.00399	0.34970 0.00466
0.39973 0.00273	0.39946 0.00369	0.39946 0.00436
0.44953 0.00287	0.44923 0.00369	0.44923 0.00502
0.49933 0.00280	0.50034 0.00288	0.49899 0.00384
0.55047 0.00295	0.55010 0.00288	0.54876 0.00347
0.60027 0.00258	0.59987 0.00333	0.59987 0.00355
0.65007 0.00280	0.64963 0.00259	0.64963 0.00236
0.69987 0.00280	0.69939 0.00266	0.69939 0.00377
0.74966 0.00221	0.74916 0.00229	0.75050 0.00340
0.79946 0.00206	0.79892 0.00229	0.79892 0.00562
0.84926 0.00221	0.84869 0.00273	0.84869 0.01086
0.90040 0.00310	0.89980 0.00672	0.89980 0.01581
0.95020 0.01135	0.94956 0.01729	0.94956 0.01736
1.00000 0.02020	0.99933 0.02158	0.99933 0.02298
1.04980 0.02226	1.04909 0.02246	1.04909 0.02542
1.10094 0.01916	1.09886 0.02039	1.10020 0.02667
1.14939 0.01968	1.14862 0.01869	1.14997 0.02158
 	 	 
