# Michioka et all 2011 C*
# z/H   x/H=0.75   -  z/H   x/H=1.25
#
0.012918 122.58	0.020475 244.60	0.0086845 45.690
0.053236 121.87	0.021520 200.00	0.054414 45.690
0.093539 119.01	0.026564 150.00	0.12435 45.690
0.12577 114.72	0.029106 128.06	0.15797 45.259
0.16606 110.07	0.032887 90.288	0.19698 45.259
0.20098 106.49	0.036849 79.496	0.22388 45.259
0.24129 103.63	0.040826 70.863	0.26153 44.828
0.27756 101.48	0.048841 62.590	0.28843 44.612
0.31384 99.698	0.062247 56.115	0.32339 44.397
0.34609 98.628	0.10123 52.518	0.36105 43.966
0.38103 97.918	0.13486 53.237	0.42156 43.103
0.41328 96.490	0.16715 54.676	0.48207 42.241
0.45091 95.779	0.20482 56.835	0.51973 41.595
0.49391 94.712	0.23711 58.993	0.57082 40.302
0.52348 94.359	0.27479 61.511	0.62192 39.655
0.56111 93.649	0.30305 62.950	0.65956 38.362
0.59605 92.938	0.34206 64.029	0.70528 37.500
0.62293 92.585	0.38914 65.108	0.74830 35.776
0.67669 91.519	0.42546 65.468	0.78594 34.483
0.71969 89.734	0.46581 65.468	0.82896 33.405
0.75596 86.515	0.53709 65.108	0.86526 32.328
0.78685 83.295	0.61510 65.468	0.89081 31.466
0.81371 80.791	0.68371 67.986	0.91500 30.388
0.84594 76.495	0.75234 73.022	0.94189 29.526
0.87549 72.917	0.81021 77.698	0.96340 28.664
0.90235 70.412	0.85998 78.777	0.98758 26.724
0.92921 67.550	0.90434 74.820	1.0225 23.922
0.94801 63.611	0.93924 64.748	1.0440 21.121
0.95872 58.595	0.96740 52.158	1.0695 16.379
0.96675 52.861	0.99018 40.288	1.0896 12.500
0.97875 38.526	1.0157 30.216	1.1138 9.4828
0.98805 21.682	1.0358 19.065	1.1379 6.4655
0.99336 12.723	1.0586 10.791	1.1662 4.0948
1.0027 3.4053	1.0854 5.7554	1.1944 2.5862
1.0390 1.9781	1.1190 1.7986	1.2374 0.86207
1.9946 1.7909	1.9973 1.0791	1.9987 0.64655
 	 	 
