# Brown et all 2000 u/Uref
# z/H   x/H=0.75   -   z/H   x/H=1.00   -  z/H   x/H=1.25
#
0.099869 -0.21729	0.098619 -0.27143	0.099869 -0.071644
0.19842  -0.19925	0.19724  -0.22030	0.19974  -0.11689
0.29961  -0.15714	0.29849  -0.16917	0.29961  -0.086727
0.39947  -0.093985	0.39842  -0.10602	0.39947  -0.059578
0.49934  -0.021805	0.49836  -0.024812	0.49934  -0.026395
0.60053  0.029323	0.59961  0.056391	0.60053  -0.0052790
0.80026  0.14060	0.79947  0.19474	0.80026  0.070136
0.99869  0.26090	0.99803  0.36917	0.99869  0.32051
1.0999   0.56767	1.0993   0.55865	1.0999   0.52262
1.1997   0.61278	1.1992   0.63985	1.1997   0.61916
1.3995   0.68195	1.3991   0.67895	1.3995   0.67044
