# Li et all 2007 u/Uref
# z/H   x/H=0.75   -   z/H   x/H=1.00   -  z/H   x/H=1.25
#
0.098555 -0.15714	0.099934 -0.22632	0.10118 -0.14103
0.14980  -0.14812	0.15122 -0.22632	0.15112 -0.18326
0.19842  -0.10602	0.19855 -0.19624	0.19974 -0.18929
0.24573  -0.093985	0.24984 -0.19624	0.25099 -0.16817
0.29961  -0.072932	0.30112 -0.16617	0.30223 -0.14404
0.34691  -0.048872	0.35108 -0.13609	0.35085 -0.11689
0.39947  -0.0037594	0.40105 -0.090977	0.40079 -0.077677
0.44809  0.0082707	0.44707 -0.036842	0.44941 -0.062594
0.49803  0.059398	0.49967 0.017293	0.50066 -0.020362
0.54928  0.068421	0.54964 0.059398	0.54928 0.0067873
0.60053  0.077444	0.60092 0.086466	0.60053 0.030920
0.64783  0.098496	0.64957 0.11053	    0.65046 0.064103
0.69908  0.11654	0.69954 0.14962	    0.70039 0.082202
0.74901  0.10451	0.74951 0.16165	    0.75033 0.10935
0.80026  0.10752	0.80079 0.17368	    0.79763 0.13348
0.85020  0.10150	0.85076 0.19173	    0.84888 0.18175
0.90013  0.10451	0.89941 0.21278	    0.90276 0.23906
0.95269  0.16165	0.94938 0.29699	    0.95138 0.32956
1.0000   0.39624	1.0007 0.42632	    0.99869 0.42911
1.0499   0.54662	1.0506 0.54361	    1.0499 0.52866
1.0999   0.62782	1.0993 0.62782	    1.0999 0.59502
1.1498   0.66090	1.1453 0.67594	    1.1524 0.67044
