# Michioka et all 2000, EXP u/Uref 
# z/H   x/H=0.75   -   z/H   x/H=1.00   -  z/H   x/H=1.25
#
0.12095 0.20965	0.12266 -0.24581	0.12095 -0.17927
0.19932 0.23006	0.20102 -0.20950	0.19761 -0.19608
0.29983 0.26160	0.29813 -0.14804	0.29642 -0.14006
0.39693 0.29499	0.39864 -0.081006	0.39864 -0.064426
0.59966 0.36920	0.59796 0.094972	0.59966 0.064426
0.69676 0.39889	0.69847 0.15642	    0.70017 0.10644
0.80068 0.41929	0.80068 0.18715	    0.79898 0.13445
0.89949 0.41373	0.89779 0.20112	    0.89779 0.23529
1.0000 0.58256	1.0017 0.48603	    1.0000 0.47059
1.0988 0.78108	1.1022 0.68715	    1.1005 0.65826
1.2010 0.83673	1.1993 0.75140	    1.1976 0.75630
1.2998 0.86827	1.3015 0.80726	    1.2998 0.81232
1.4974 0.92950	1.5009 0.90223	    1.4991 0.89356
1.7513 0.95733	1.7513 0.96369	    1.7496 0.96359
2.0000 1.0000	2.0017 1.0000	    2.0000 1.0000
 	 	 
