# Michioka et all 2000, LES u/Uref 
# z/H   x/H=0.75   -   z/H   x/H=1.00   -  z/H   x/H=1.25
#
-0.0017036 0.33581	-0.0017036 0.0027933	0.0017036 8.8818e-16
0.042589 0.28200	0.010221 -0.10335	0.027257 -0.064426
0.078365 0.25417	0.037479 -0.17877	0.078365 -0.10084
0.11584 0.25046	0.080068 -0.18156	0.11755 -0.12885
0.16695 0.25417	0.11755 -0.17877	0.17036 -0.14566
0.21635 0.25974	0.17036 -0.17039	0.21465 -0.14286
0.25894 0.26716	0.21635 -0.16201	0.25894 -0.12605
0.30664 0.28015	0.28620 -0.13408	0.30324 -0.11204
0.34753 0.29128	0.35094 -0.097765	0.34923 -0.092437
0.40716 0.30983	0.41397 -0.058659	0.39864 -0.067227
0.45997 0.33210	0.49915 0.00000	0.44293 -0.047619
0.50085 0.34137	0.57751 0.044693	0.49915 -0.022409
0.54514 0.35436	0.64906 0.089385	0.55196 0.0056022
0.59625 0.36735	0.70698 0.12570	0.59625 0.022409
0.65077 0.38404	0.78024 0.15642	0.65077 0.044818
0.71210 0.39332	0.83305 0.16201	0.71210 0.072829
0.78365 0.39889	0.88245 0.16760	0.77853 0.098039
0.83816 0.39889	0.91823 0.18156	0.83135 0.12045
0.88245 0.39889	0.95230 0.24022	0.88586 0.17087
0.92164 0.39889	0.97785 0.30168	0.91993 0.21569
0.95400 0.41558	1.0017 0.36872	0.95571 0.28571
0.97445 0.45455	1.0204 0.44134	0.98467 0.34174
0.98978 0.50278	1.0443 0.50838	1.0102 0.40616
1.0000 0.54545	1.0698 0.56145	1.0324 0.45378
1.0102 0.58998	1.1073 0.61173	1.0647 0.52661
1.0256 0.63451	1.1465 0.65084	1.1005 0.57703
1.0460 0.67718	1.1789 0.67318	1.1431 0.62745
1.0767 0.72171	1.2266 0.70391	1.1772 0.66106
1.1244 0.74954	1.2675 0.73464	1.2181 0.69188
1.1584 0.76994	1.3203 0.75978	1.2658 0.72829
1.1891 0.78479	1.3748 0.79330	1.3220 0.76190
1.2266 0.80334	1.4412 0.82123	1.3765 0.79552
1.2675 0.82189	1.5111 0.85475	1.4463 0.82353
1.3220 0.84045	1.5945 0.88547	1.5111 0.85994
1.3765 0.86085	1.6746 0.91620	1.6031 0.89076
1.4480 0.88497	1.7683 0.94693	1.6763 0.91597
1.5111 0.90353	1.8756 0.98324	1.7871 0.95798
1.5980 0.92579	2.0000 1.0279	1.8739 0.98319
1.6763 0.94620	2.1124 1.0559	1.9966 1.0280
1.7649 0.95918	2.2555 1.0922	2.1124 1.0588
1.8756 0.98887	2.3969 1.1229	2.2589 1.0924
1.9966 1.0241	2.4566 1.1425	2.3969 1.1261
2.1124 1.0371	2.5230 1.1508	2.4804 1.1457
2.2572 1.0594	2.5690 1.1648	2.5400 1.1569
2.4020 1.0835	2.6133 1.1704	2.5997 1.1737
2.5639 1.1058	2.6576 1.1760	2.6491 1.1821
2.7274 1.1243	2.7291 1.1927	2.7308 1.1933
 	 	 
