# Brown et all 2000 w/Uref
# z/H   x/H=0.75   -   z/H   x/H=1.00   -  z/H   x/H=1.25
#
0.099869 0.040295	0.099869 -0.0070423	    0.10125 -0.081773
0.19711  0.11794	0.19711  -0.0098592	    0.20118 -0.12956
0.29698  0.15971	0.29829  -0.0077465	    0.29980 -0.14828
0.39685  0.18968	0.39816  -0.0017606	    0.40105 -0.15567
0.49671  0.19410	0.49540   0.0021127	    0.49967 -0.15271
0.59658  0.19017	0.59658   0.011268	    0.59829 -0.14483
0.80026  0.15332	0.80158   0.011620	    0.80473 -0.089655
1.0013   0.0058968	1.0000   -0.0014085	    1.0033  -0.031034
1.0999   0.0063882	1.0999    0.0070423	    1.1032  -0.0068966
1.1997   0.0058968	1.2011    0.0070423	    1.2032   0.0014778
1.3982   0.0034398	1.4008    0.0017606	    1.4017   0.0049261
1.6018   0.0034398	1.5992   -0.00035211	1.6016   0.0029557
1.7976   0.0034398	1.8003    0.0024648	    1.8001   0.0039409
