# Li et all 2007 w/Uref
# z/H   x/H=0.75   -   z/H   x/H=1.00   -  z/H   x/H=1.25
#
0.095926 0.096314	0.10381 0.046127	0.097304 -0.060099
0.14980 0.12973	    0.15112 0.067958	0.14859  -0.091626
0.19974 0.15086	    0.19974 0.088380	0.19987  -0.074877
0.24967 0.17494	    0.25099 0.098592	0.24852  -0.13103
0.29829 0.19558	    0.30355 0.090845	0.30112  -0.15172
0.34954 0.20393	    0.35217 0.11373	    0.34977  -0.15517
0.40079 0.20786	    0.40342 0.11444	    0.40237  -0.16059
0.45204 0.21278	    0.45204 0.12887	    0.44970  -0.14926
0.49934 0.20688	    0.50197 0.10704	    0.49967  -0.13399
0.54928 0.19754	    0.55191 0.13380	    0.55227  -0.13054
0.59658 0.18673	    0.60184 0.11620	    0.60092  -0.11330
0.64915 0.15971	    0.65177 0.11197	    0.65352  -0.097044
0.69908 0.14496	    0.70171 0.089085	0.69954  -0.079310
0.74901 0.12973	    0.75296 0.063028	0.75082  -0.061084
0.79895 0.11400	    0.80026 0.054577	0.80079  -0.045813
0.84888 0.10319	    0.85020 0.058803	0.85207  -0.049261
0.89882 0.083047	0.89882 0.022535	0.89941  -0.047783
0.94875 0.027518	0.95007 0.013732	0.95201  -0.036453
0.99737 -0.0078624	1.0000  0.0080986	1.0007   -0.032020
1.0499  0.00000000	1.0499  0.017254	1.0506   -0.013793
1.0999  0.0093366	1.1012  0.015493	1.1006    0.0029557
1.1498  0.0058968	1.1524 -0.0045775	1.1506    0.014286
 	 	 
